"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY NEXT 50","20 Jun 2025","21.65","3.99","1.43"
"NIFTY NEXT 50","19 Jun 2025","21.38","3.95","1.39"
"NIFTY NEXT 50","18 Jun 2025","21.68","4.01","1.39"
"NIFTY NEXT 50","17 Jun 2025","21.75","4.04","1.38"
"NIFTY NEXT 50","16 Jun 2025","21.9","4.07","1.37"
"NIFTY NEXT 50","13 Jun 2025","21.74","4.06","1.43"
"NIFTY NEXT 50","12 Jun 2025","21.94","4.09","1.35"
"NIFTY NEXT 50","11 Jun 2025","22.34","4.17","1.32"
"NIFTY NEXT 50","10 Jun 2025","22.39","4.18","1.32"
"NIFTY NEXT 50","09 Jun 2025","22.36","4.26","1.32"
"NIFTY NEXT 50","06 Jun 2025","22.09","4.21","1.35"
"NIFTY NEXT 50","05 Jun 2025","21.83","4.2","1.29"
"NIFTY NEXT 50","04 Jun 2025","21.73","4.18","1.29"
"NIFTY NEXT 50","03 Jun 2025","21.72","4.17","1.3"
"NIFTY NEXT 50","02 Jun 2025","21.96","4.19","1.29"
"NIFTY NEXT 50","30 May 2025","21.85","4.18","1.31"
"NIFTY NEXT 50","29 May 2025","21.9","4.19","1.3"
"NIFTY NEXT 50","28 May 2025","21.94","4.18","1.3"
"NIFTY NEXT 50","27 May 2025","22","4.2","1.3"
"NIFTY NEXT 50","26 May 2025","22.06","4.21","1.3"
"NIFTY NEXT 50","23 May 2025","21.97","4.19","1.38"
"NIFTY NEXT 50","22 May 2025","22.04","4.17","1.36"
"NIFTY NEXT 50","21 May 2025","22.16","4.18","1.36"
"NIFTY NEXT 50","20 May 2025","21.91","4.13","1.37"
"NIFTY NEXT 50","19 May 2025","22.32","4.21","1.35"
"NIFTY NEXT 50","16 May 2025","22.21","4.19","1.35"
"NIFTY NEXT 50","15 May 2025","21.94","4.14","1.37"
"NIFTY NEXT 50","14 May 2025","21.71","4.1","1.39"
"NIFTY NEXT 50","13 May 2025","21.55","4.07","1.42"
"NIFTY NEXT 50","12 May 2025","21.67","4.07","1.41"
"NIFTY NEXT 50","09 May 2025","20.82","3.91","1.46"
"NIFTY NEXT 50","08 May 2025","20.99","3.93","1.46"
"NIFTY NEXT 50","07 May 2025","21.47","4.01","1.43"
"NIFTY NEXT 50","06 May 2025","21.39","3.99","1.43"
"NIFTY NEXT 50","05 May 2025","21.92","4.09","1.4"
"NIFTY NEXT 50","02 May 2025","21.91","4.03","1.42"
"NIFTY NEXT 50","30 Apr 2025","21.91","4.03","1.41"
"NIFTY NEXT 50","29 Apr 2025","22.04","4.06","1.41"
"NIFTY NEXT 50","28 Apr 2025","22.13","4.07","1.4"
"NIFTY NEXT 50","25 Apr 2025","21.9","4.02","1.42"
"NIFTY NEXT 50","24 Apr 2025","22.45","4.12","1.38"
"NIFTY NEXT 50","23 Apr 2025","22.49","4.13","1.38"
"NIFTY NEXT 50","22 Apr 2025","22.34","4.1","1.39"
"NIFTY NEXT 50","21 Apr 2025","22.29","4.09","1.39"
"NIFTY NEXT 50","17 Apr 2025","21.9","4.02","1.42"
"NIFTY NEXT 50","16 Apr 2025","21.74","3.99","1.43"
"NIFTY NEXT 50","15 Apr 2025","21.6","3.96","1.44"
"NIFTY NEXT 50","11 Apr 2025","20.95","3.84","1.48"
"NIFTY NEXT 50","09 Apr 2025","20.67","3.79","1.5"
"NIFTY NEXT 50","08 Apr 2025","20.72","3.8","1.5"
"NIFTY NEXT 50","07 Apr 2025","20.29","3.72","1.53"
"NIFTY NEXT 50","04 Apr 2025","20.95","3.84","1.48"
"NIFTY NEXT 50","03 Apr 2025","21.5","3.95","1.44"
"NIFTY NEXT 50","02 Apr 2025","21.5","3.95","1.44"
"NIFTY NEXT 50","01 Apr 2025","21.26","3.9","1.46"
"NIFTY NEXT 50","28 Mar 2025","21.48","3.94","1.44"
"NIFTY NEXT 50","27 Mar 2025","22.65","3.5","1.3"
"NIFTY NEXT 50","26 Mar 2025","22.3","3.45","1.32"
"NIFTY NEXT 50","25 Mar 2025","22.38","3.46","1.28"
"NIFTY NEXT 50","24 Mar 2025","22.72","3.51","1.26"
"NIFTY NEXT 50","21 Mar 2025","22.44","3.47","1.3"
"NIFTY NEXT 50","20 Mar 2025","22.24","3.44","1.3"
"NIFTY NEXT 50","19 Mar 2025","22.12","3.44","1.31"
"NIFTY NEXT 50","18 Mar 2025","21.77","3.39","1.32"
"NIFTY NEXT 50","17 Mar 2025","21.21","3.3","1.35"
"NIFTY NEXT 50","13 Mar 2025","21.05","3.28","1.36"
"NIFTY NEXT 50","12 Mar 2025","21.16","3.29","1.35"
"NIFTY NEXT 50","11 Mar 2025","21.16","3.29","1.35"
"NIFTY NEXT 50","10 Mar 2025","21.05","3.28","1.36"
"NIFTY NEXT 50","07 Mar 2025","21.37","3.33","1.34"
"NIFTY NEXT 50","06 Mar 2025","21.46","3.34","1.33"
"NIFTY NEXT 50","05 Mar 2025","21.22","3.3","1.35"
"NIFTY NEXT 50","04 Mar 2025","20.69","3.22","1.38"
"NIFTY NEXT 50","03 Mar 2025","20.58","3.2","1.39"
"NIFTY NEXT 50","28 Feb 2025","20.37","3.17","1.41"
"NIFTY NEXT 50","27 Feb 2025","20.98","3.26","1.34"
"NIFTY NEXT 50","25 Feb 2025","21.18","3.3","1.33"
"NIFTY NEXT 50","24 Feb 2025","21.34","3.32","1.32"
"NIFTY NEXT 50","21 Feb 2025","21.6","3.36","1.33"
"NIFTY NEXT 50","20 Feb 2025","21.8","3.39","1.32"
"NIFTY NEXT 50","19 Feb 2025","21.49","3.34","1.38"
"NIFTY NEXT 50","18 Feb 2025","21.31","3.3","1.4"
"NIFTY NEXT 50","17 Feb 2025","21.34","3.3","1.38"
"NIFTY NEXT 50","14 Feb 2025","21.38","3.31","1.37"
"NIFTY NEXT 50","13 Feb 2025","22.03","3.39","1.32"
"NIFTY NEXT 50","12 Feb 2025","21.99","3.38","1.3"
"NIFTY NEXT 50","11 Feb 2025","21.99","3.38","1.31"
"NIFTY NEXT 50","10 Feb 2025","22.53","3.47","1.28"
"NIFTY NEXT 50","07 Feb 2025","22.95","3.53","1.26"
"NIFTY NEXT 50","06 Feb 2025","23","3.53","1.18"
"NIFTY NEXT 50","05 Feb 2025","23.19","3.56","1.23"
"NIFTY NEXT 50","04 Feb 2025","23.07","3.54","1.24"
"NIFTY NEXT 50","03 Feb 2025","22.75","3.48","1.26"
"NIFTY NEXT 50","01 Feb 2025","23.47","3.53","1.23"
"NIFTY NEXT 50","31 Jan 2025","23.34","3.51","1.24"
"NIFTY NEXT 50","30 Jan 2025","23.1","3.46","1.25"
"NIFTY NEXT 50","29 Jan 2025","23.11","3.45","1.25"
"NIFTY NEXT 50","28 Jan 2025","22.31","3.39","1.28"
"NIFTY NEXT 50","27 Jan 2025","22.23","3.38","1.28"
"NIFTY NEXT 50","24 Jan 2025","22.9","3.47","1.24"
"NIFTY NEXT 50","23 Jan 2025","23.27","3.53","1.22"
"NIFTY NEXT 50","22 Jan 2025","23.04","3.5","1.24"
"NIFTY NEXT 50","21 Jan 2025","23.23","3.53","1.22"
"NIFTY NEXT 50","20 Jan 2025","23.85","3.62","1.19"
"NIFTY NEXT 50","17 Jan 2025","23.82","3.62","1.19"
"NIFTY NEXT 50","16 Jan 2025","23.64","3.59","1.2"
"NIFTY NEXT 50","15 Jan 2025","23.31","3.54","1.22"
"NIFTY NEXT 50","14 Jan 2025","23.1","3.51","1.23"
"NIFTY NEXT 50","13 Jan 2025","22.52","3.42","1.26"
"NIFTY NEXT 50","10 Jan 2025","23.53","3.58","1.21"
"NIFTY NEXT 50","09 Jan 2025","24.01","3.65","1.18"
"NIFTY NEXT 50","08 Jan 2025","24.32","3.7","1.17"
"NIFTY NEXT 50","07 Jan 2025","24.52","3.72","1.16"
"NIFTY NEXT 50","06 Jan 2025","24.54","3.73","1.16"
"NIFTY NEXT 50","03 Jan 2025","25.34","3.85","1.12"
"NIFTY NEXT 50","02 Jan 2025","25.31","3.85","1.12"
"NIFTY NEXT 50","01 Jan 2025","24.99","3.8","1.14"
"NIFTY NEXT 50","31 Dec 2024","24.9","3.78","1.14"
"NIFTY NEXT 50","30 Dec 2024","21.71","3.65","1.42"
"NIFTY NEXT 50","27 Dec 2024","21.87","3.67","1.41"
"NIFTY NEXT 50","26 Dec 2024","22.06","3.71","1.5"
"NIFTY NEXT 50","24 Dec 2024","21.97","3.69","1.5"
"NIFTY NEXT 50","23 Dec 2024","21.98","3.69","1.43"
"NIFTY NEXT 50","20 Dec 2024","21.92","3.68","1.43"
"NIFTY NEXT 50","19 Dec 2024","22.53","3.79","1.39"
"NIFTY NEXT 50","18 Dec 2024","22.73","3.82","1.38"
"NIFTY NEXT 50","17 Dec 2024","23.03","3.87","1.36"
"NIFTY NEXT 50","16 Dec 2024","23.34","3.92","1.34"
"NIFTY NEXT 50","13 Dec 2024","23.28","3.91","1.35"
"NIFTY NEXT 50","12 Dec 2024","23.31","3.92","1.34"
"NIFTY NEXT 50","11 Dec 2024","23.38","3.93","1.34"
"NIFTY NEXT 50","10 Dec 2024","23.32","3.92","1.34"
"NIFTY NEXT 50","09 Dec 2024","23.2","3.9","1.35"
"NIFTY NEXT 50","06 Dec 2024","23.3","3.91","1.34"
"NIFTY NEXT 50","05 Dec 2024","23.12","3.88","1.35"
"NIFTY NEXT 50","04 Dec 2024","23.05","3.87","1.36"
"NIFTY NEXT 50","03 Dec 2024","22.93","3.85","1.37"
"NIFTY NEXT 50","02 Dec 2024","22.72","3.81","1.38"
"NIFTY NEXT 50","29 Nov 2024","22.58","3.79","1.39"
"NIFTY NEXT 50","28 Nov 2024","22.43","3.77","1.4"
"NIFTY NEXT 50","27 Nov 2024","22.41","3.76","1.4"
"NIFTY NEXT 50","26 Nov 2024","22.2","3.73","1.41"
"NIFTY NEXT 50","25 Nov 2024","22.14","3.72","1.42"
"NIFTY NEXT 50","22 Nov 2024","21.72","3.65","1.45"
"NIFTY NEXT 50","21 Nov 2024","21.32","3.58","1.48"
"NIFTY NEXT 50","19 Nov 2024","21.64","3.63","1.46"
"NIFTY NEXT 50","18 Nov 2024","21.56","3.62","1.46"
"NIFTY NEXT 50","14 Nov 2024","21.54","3.61","1.47"
"NIFTY NEXT 50","13 Nov 2024","21.48","3.6","1.47"
"NIFTY NEXT 50","12 Nov 2024","21.88","3.67","1.47"
"NIFTY NEXT 50","11 Nov 2024","23.22","3.75","1.44"
"NIFTY NEXT 50","08 Nov 2024","23.14","3.74","1.56"
"NIFTY NEXT 50","07 Nov 2024","23.37","3.79","1.51"
"NIFTY NEXT 50","06 Nov 2024","23.65","3.83","1.49"
"NIFTY NEXT 50","05 Nov 2024","23.12","3.74","1.52"
"NIFTY NEXT 50","04 Nov 2024","23","3.72","1.53"
"NIFTY NEXT 50","01 Nov 2024","23.37","3.78","1.51"
"NIFTY NEXT 50","31 Oct 2024","23.2","3.75","1.52"
"NIFTY NEXT 50","30 Oct 2024","22.56","3.77","1.5"
"NIFTY NEXT 50","29 Oct 2024","22.64","3.78","1.5"
"NIFTY NEXT 50","28 Oct 2024","22.43","3.76","1.51"
"NIFTY NEXT 50","25 Oct 2024","22.33","3.74","1.53"
"NIFTY NEXT 50","24 Oct 2024","22.72","3.8","1.49"
"NIFTY NEXT 50","23 Oct 2024","22.76","3.8","1.49"
"NIFTY NEXT 50","22 Oct 2024","22.86","3.82","1.49"
"NIFTY NEXT 50","21 Oct 2024","23.55","3.93","1.44"
"NIFTY NEXT 50","18 Oct 2024","23.9","3.98","1.42"
"NIFTY NEXT 50","17 Oct 2024","23.81","3.97","1.43"
"NIFTY NEXT 50","16 Oct 2024","24.35","4.06","1.4"
"NIFTY NEXT 50","15 Oct 2024","24.4","4.07","1.39"
"NIFTY NEXT 50","14 Oct 2024","24.34","4.06","1.4"
"NIFTY NEXT 50","11 Oct 2024","24.25","4.04","1.4"
"NIFTY NEXT 50","10 Oct 2024","24.22","4.04","1.4"
"NIFTY NEXT 50","09 Oct 2024","24.26","4.04","1.4"
"NIFTY NEXT 50","08 Oct 2024","24","4","1.42"
"NIFTY NEXT 50","07 Oct 2024","23.45","3.91","1.45"
"NIFTY NEXT 50","04 Oct 2024","24","4","1.42"
"NIFTY NEXT 50","03 Oct 2024","24.27","4.05","1.4"
"NIFTY NEXT 50","01 Oct 2024","24.86","4.14","1.37"
"NIFTY NEXT 50","30 Sep 2024","24.8","4.13","1.37"
"NIFTY NEXT 50","27 Sep 2024","27.65","4.77","1.23"
"NIFTY NEXT 50","26 Sep 2024","27.39","4.73","1.24"
"NIFTY NEXT 50","25 Sep 2024","27.19","4.69","1.25"
"NIFTY NEXT 50","24 Sep 2024","27.29","4.71","1.24"
"NIFTY NEXT 50","23 Sep 2024","27.26","4.7","1.25"
"NIFTY NEXT 50","20 Sep 2024","26.82","4.64","1.27"
"NIFTY NEXT 50","19 Sep 2024","26.45","4.67","1.28"
"NIFTY NEXT 50","18 Sep 2024","26.63","4.7","1.27"
"NIFTY NEXT 50","17 Sep 2024","26.74","4.72","1.27"
"NIFTY NEXT 50","16 Sep 2024","26.82","4.73","1.27"
"NIFTY NEXT 50","13 Sep 2024","26.8","4.73","1.27"
"NIFTY NEXT 50","12 Sep 2024","26.81","4.8","1.27"
"NIFTY NEXT 50","11 Sep 2024","26.42","4.76","1.29"
"NIFTY NEXT 50","10 Sep 2024","26.56","4.88","1.28"
"NIFTY NEXT 50","09 Sep 2024","26.54","5.08","1.13"
"NIFTY NEXT 50","06 Sep 2024","26.5","5.07","1.13"
"NIFTY NEXT 50","05 Sep 2024","26.86","5.14","1.12"
"NIFTY NEXT 50","04 Sep 2024","26.85","5.13","1.12"
"NIFTY NEXT 50","03 Sep 2024","26.84","5.13","1.12"
"NIFTY NEXT 50","02 Sep 2024","26.81","5.13","1.12"
"NIFTY NEXT 50","30 Aug 2024","26.79","5.12","1.12"
"NIFTY NEXT 50","29 Aug 2024","26.63","5.09","1.11"
"NIFTY NEXT 50","28 Aug 2024","26.7","5.11","1.11"
"NIFTY NEXT 50","27 Aug 2024","26.61","5.09","1.11"
"NIFTY NEXT 50","26 Aug 2024","26.59","5.09","1.11"
"NIFTY NEXT 50","23 Aug 2024","26.46","5.06","1.12"
"NIFTY NEXT 50","22 Aug 2024","26.55","5.08","1.11"
"NIFTY NEXT 50","21 Aug 2024","26.38","5.05","1.11"
"NIFTY NEXT 50","20 Aug 2024","26.3","5.03","1.11"
"NIFTY NEXT 50","19 Aug 2024","26.09","4.99","1.12"
"NIFTY NEXT 50","16 Aug 2024","25.94","4.96","1.14"
"NIFTY NEXT 50","14 Aug 2024","25.59","4.87","1.15"
"NIFTY NEXT 50","13 Aug 2024","25.58","4.87","1.14"
"NIFTY NEXT 50","12 Aug 2024","25.97","4.93","1.13"
"NIFTY NEXT 50","09 Aug 2024","26.07","4.95","1.14"
"NIFTY NEXT 50","08 Aug 2024","25.77","4.89","1.13"
"NIFTY NEXT 50","07 Aug 2024","26.37","4.92","1.12"
"NIFTY NEXT 50","06 Aug 2024","25.6","4.78","1.15"
"NIFTY NEXT 50","05 Aug 2024","25.84","4.83","1.14"
"NIFTY NEXT 50","02 Aug 2024","26.73","4.99","1.1"
"NIFTY NEXT 50","01 Aug 2024","26.97","5.05","1.06"
"NIFTY NEXT 50","31 Jul 2024","26.44","5.09","1.06"
"NIFTY NEXT 50","30 Jul 2024","26.21","5.04","1.04"
"NIFTY NEXT 50","29 Jul 2024","26.57","5.05","1.03"
"NIFTY NEXT 50","26 Jul 2024","26.27","4.99","1.12"
"NIFTY NEXT 50","25 Jul 2024","25.81","4.91","1.12"
"NIFTY NEXT 50","24 Jul 2024","25.67","4.88","1.13"
"NIFTY NEXT 50","23 Jul 2024","25.6","4.87","1.12"
"NIFTY NEXT 50","22 Jul 2024","25.85","4.91","1.11"
"NIFTY NEXT 50","19 Jul 2024","25.54","4.85","1.13"
"NIFTY NEXT 50","18 Jul 2024","26.17","4.97","1.08"
"NIFTY NEXT 50","16 Jul 2024","26.46","5.03","1.07"
"NIFTY NEXT 50","15 Jul 2024","26.62","5.07","1.07"
"NIFTY NEXT 50","12 Jul 2024","26.39","5.15","1.11"
"NIFTY NEXT 50","11 Jul 2024","26.54","5.17",".98"
"NIFTY NEXT 50","10 Jul 2024","26.48","5.16",".99"
"NIFTY NEXT 50","09 Jul 2024","26.47","5.16",".99"
"NIFTY NEXT 50","08 Jul 2024","26.34","5.14",".99"
"NIFTY NEXT 50","05 Jul 2024","26.31","5.13","1"
"NIFTY NEXT 50","04 Jul 2024","26.14","5.1","1"
"NIFTY NEXT 50","03 Jul 2024","26.01","5.07",".99"
"NIFTY NEXT 50","02 Jul 2024","25.73","5.02","1"
"NIFTY NEXT 50","01 Jul 2024","25.87","5.04","1"
"NIFTY NEXT 50","28 Jun 2024","25.63","5","1.06"
"NIFTY NEXT 50","27 Jun 2024","25.43","4.96",".97"
"NIFTY NEXT 50","26 Jun 2024","25.4","4.95",".97"
"NIFTY NEXT 50","25 Jun 2024","25.44","4.96",".97"
"NIFTY NEXT 50","24 Jun 2024","25.54","4.98",".97"
"NIFTY NEXT 50","21 Jun 2024","25.35","4.95",".99"
"NIFTY NEXT 50","20 Jun 2024","25.54","4.99",".96"
"NIFTY NEXT 50","19 Jun 2024","25.5","5.02",".96"
"NIFTY NEXT 50","18 Jun 2024","25.79","5.08",".95"
"NIFTY NEXT 50","14 Jun 2024","25.63","5.11",".98"
"NIFTY NEXT 50","13 Jun 2024","25.27","5.04",".97"
"NIFTY NEXT 50","12 Jun 2024","25.05","5.01",".98"
"NIFTY NEXT 50","11 Jun 2024","24.86","4.97","1"
"NIFTY NEXT 50","10 Jun 2024","24.89","4.97",".99"
"NIFTY NEXT 50","07 Jun 2024","24.7","4.94","1"
"NIFTY NEXT 50","06 Jun 2024","24.35","4.87","1.03"
"NIFTY NEXT 50","05 Jun 2024","23.85","4.77","1.05"
"NIFTY NEXT 50","04 Jun 2024","22.85","4.57","1.09"
"NIFTY NEXT 50","03 Jun 2024","25.21","5.04",".99"
"NIFTY NEXT 50","31 May 2024","24.1","4.82","1.05"
"NIFTY NEXT 50","30 May 2024","24.04","4.78","1.04"
"NIFTY NEXT 50","29 May 2024","24.29","4.83","1.15"
"NIFTY NEXT 50","28 May 2024","24.46","4.86","1.14"
"NIFTY NEXT 50","27 May 2024","24.72","4.9","1.14"
"NIFTY NEXT 50","24 May 2024","24.79","4.9","1.14"
"NIFTY NEXT 50","23 May 2024","24.73","4.89","1.07"
"NIFTY NEXT 50","22 May 2024","24.55","4.85","1.08"
"NIFTY NEXT 50","21 May 2024","24.65","4.84","1.05"
"NIFTY NEXT 50","18 May 2024","24.9","4.8","1.08"
"NIFTY NEXT 50","17 May 2024","24.69","4.76","1.08"
"NIFTY NEXT 50","16 May 2024","24.6","4.71","1.1"
"NIFTY NEXT 50","15 May 2024","24.4","4.66","1.11"
"NIFTY NEXT 50","14 May 2024","24.38","4.64","1.11"
"NIFTY NEXT 50","13 May 2024","24","4.57","1.11"
"NIFTY NEXT 50","10 May 2024","23.97","4.54","1.12"
"NIFTY NEXT 50","09 May 2024","23.87","4.5","1.13"
"NIFTY NEXT 50","08 May 2024","24.37","4.6","1.1"
"NIFTY NEXT 50","07 May 2024","23.79","4.54","1.12"
"NIFTY NEXT 50","06 May 2024","24.16","4.61","1.1"
"NIFTY NEXT 50","03 May 2024","24.47","4.67","1.09"
"NIFTY NEXT 50","02 May 2024","24.56","4.69","1.08"
"NIFTY NEXT 50","30 Apr 2024","24.06","4.61","1.1"
"NIFTY NEXT 50","29 Apr 2024","23.96","4.58","1.1"
"NIFTY NEXT 50","26 Apr 2024","23.74","4.55","1.11"
"NIFTY NEXT 50","25 Apr 2024","23.58","4.52","1.12"
"NIFTY NEXT 50","24 Apr 2024","23.42","4.49","1.12"
"NIFTY NEXT 50","23 Apr 2024","23.24","4.46","1.13"
"NIFTY NEXT 50","22 Apr 2024","23.19","4.45","1.14"
"NIFTY NEXT 50","19 Apr 2024","22.9","4.4","1.15"
"NIFTY NEXT 50","18 Apr 2024","22.94","4.4","1.15"
"NIFTY NEXT 50","16 Apr 2024","22.96","4.41","1.15"
"NIFTY NEXT 50","15 Apr 2024","22.94","4.4","1.15"
"NIFTY NEXT 50","12 Apr 2024","23.34","4.48","1.13"
"NIFTY NEXT 50","10 Apr 2024","23.43","4.62","1.12"
"NIFTY NEXT 50","09 Apr 2024","23.23","4.58","1.13"
"NIFTY NEXT 50","08 Apr 2024","23.31","4.59","1.13"
"NIFTY NEXT 50","05 Apr 2024","23.20","4.57","1.28"
"NIFTY NEXT 50","04 Apr 2024","23.00","4.53","1.29"
"NIFTY NEXT 50","03 Apr 2024","23.10","4.55","1.29"
"NIFTY NEXT 50","02 Apr 2024","23.03","4.54","1.29"
"NIFTY NEXT 50","01 Apr 2024","22.80","4.49","1.30"
"NIFTY NEXT 50","28 Mar 2024","22.43","4.42","1.33"
"NIFTY NEXT 50","27 Mar 2024","25.92","4.93","1.21"
"NIFTY NEXT 50","26 Mar 2024","25.87","4.92","1.22"
"NIFTY NEXT 50","22 Mar 2024","25.60","4.87","1.24"
"NIFTY NEXT 50","21 Mar 2024","25.49","4.85","1.23"
"NIFTY NEXT 50","20 Mar 2024","24.91","4.74","1.32"
"NIFTY NEXT 50","19 Mar 2024","24.83","4.72","1.34"
"NIFTY NEXT 50","18 Mar 2024","25.27","4.81","1.30"
"NIFTY NEXT 50","15 Mar 2024","25.11","4.78","1.31"
"NIFTY NEXT 50","14 Mar 2024","25.31","4.82","1.30"
"NIFTY NEXT 50","13 Mar 2024","24.72","4.70","1.33"
"NIFTY NEXT 50","12 Mar 2024","25.68","4.89","1.28"
"NIFTY NEXT 50","11 Mar 2024","26.09","4.96","1.26"
"NIFTY NEXT 50","07 Mar 2024","26.09","4.97","1.28"
"NIFTY NEXT 50","06 Mar 2024","25.87","4.92","1.29"
"NIFTY NEXT 50","05 Mar 2024","25.95","4.94","1.26"
"NIFTY NEXT 50","04 Mar 2024","25.93","4.93","1.27"
"NIFTY NEXT 50","02 Mar 2024","25.86","4.92","1.27"
"NIFTY NEXT 50","01 Mar 2024","25.74","4.90","1.27"
"NIFTY NEXT 50","29 Feb 2024","25.52","4.86","1.29"
"NIFTY NEXT 50","28 Feb 2024","25.26","4.81","1.30"
"NIFTY NEXT 50","27 Feb 2024","25.59","4.87","1.28"
"NIFTY NEXT 50","26 Feb 2024","25.61","4.87","1.28"
"NIFTY NEXT 50","23 Feb 2024","25.59","4.87","1.28"
"NIFTY NEXT 50","22 Feb 2024","25.52","4.86","1.28"
"NIFTY NEXT 50","21 Feb 2024","25.26","4.81","1.31"
"NIFTY NEXT 50","20 Feb 2024","25.39","4.83","1.29"
"NIFTY NEXT 50","19 Feb 2024","25.39","4.83","1.27"
"NIFTY NEXT 50","16 Feb 2024","25.36","4.82","1.27"
"NIFTY NEXT 50","15 Feb 2024","25.22","4.79","1.29"
"NIFTY NEXT 50","14 Feb 2024","25.04","4.75","1.30"
"NIFTY NEXT 50","13 Feb 2024","24.72","4.68","1.32"
"NIFTY NEXT 50","12 Feb 2024","24.51","4.64","1.33"
"NIFTY NEXT 50","09 Feb 2024","25.04","4.73","1.31"
"NIFTY NEXT 50","08 Feb 2024","25.19","4.75","1.28"
"NIFTY NEXT 50","07 Feb 2024","25.08","4.72","1.29"
"NIFTY NEXT 50","06 Feb 2024","24.68","4.65","1.31"
"NIFTY NEXT 50","05 Feb 2024","24.57","4.59","1.22"
"NIFTY NEXT 50","02 Feb 2024","24.69","4.61","1.32"
"NIFTY NEXT 50","01 Feb 2024","24.89","4.57","1.34"
"NIFTY NEXT 50","31 Jan 2024","24.78","4.56","1.34"
"NIFTY NEXT 50","30 Jan 2024","25.05","4.52","1.35"
"NIFTY NEXT 50","29 Jan 2024","25.34","4.53","1.34"
"NIFTY NEXT 50","25 Jan 2024","26.04","4.47","1.36"
"NIFTY NEXT 50","24 Jan 2024","26.05","4.47","1.37"
"NIFTY NEXT 50","23 Jan 2024","25.62","4.39","1.39"
"NIFTY NEXT 50","20 Jan 2024","26.31","4.51","1.36"
"NIFTY NEXT 50","19 Jan 2024","26.30","4.51","1.36"
"NIFTY NEXT 50","18 Jan 2024","25.94","4.44","1.37"
"NIFTY NEXT 50","17 Jan 2024","26.06","4.47","1.37"
"NIFTY NEXT 50","16 Jan 2024","26.36","4.52","1.35"
"NIFTY NEXT 50","15 Jan 2024","26.41","4.53","1.35"
"NIFTY NEXT 50","12 Jan 2024","26.32","4.51","1.36"
"NIFTY NEXT 50","11 Jan 2024","26.25","4.50","1.36"
"NIFTY NEXT 50","10 Jan 2024","26.00","4.45","1.37"
"NIFTY NEXT 50","09 Jan 2024","25.95","4.45","1.37"
"NIFTY NEXT 50","08 Jan 2024","25.84","4.43","1.38"
"NIFTY NEXT 50","05 Jan 2024","26.11","4.47","1.37"
"NIFTY NEXT 50","04 Jan 2024","26.14","4.48","1.36"
"NIFTY NEXT 50","03 Jan 2024","25.81","4.42","1.38"
"NIFTY NEXT 50","02 Jan 2024","25.62","4.39","1.41"
"NIFTY NEXT 50","01 Jan 2024","25.68","4.40","1.41"
"NIFTY NEXT 50","29 Dec 2023","25.65","4.39","1.41"
"NIFTY NEXT 50","28 Dec 2023","25.61","4.38","1.37"
"NIFTY NEXT 50","27 Dec 2023","25.47","4.36","1.38"
"NIFTY NEXT 50","26 Dec 2023","25.37","4.34","1.30"
"NIFTY NEXT 50","22 Dec 2023","25.14","4.30","1.31"
"NIFTY NEXT 50","21 Dec 2023","24.93","4.27","1.32"
"NIFTY NEXT 50","20 Dec 2023","24.61","4.21","1.34"
"NIFTY NEXT 50","19 Dec 2023","25.35","4.34","1.30"
"NIFTY NEXT 50","18 Dec 2023","25.31","4.33","1.30"
"NIFTY NEXT 50","15 Dec 2023","25.14","4.30","1.31"
"NIFTY NEXT 50","14 Dec 2023","25.13","4.30","1.31"
"NIFTY NEXT 50","13 Dec 2023","24.81","4.24","1.33"
"NIFTY NEXT 50","12 Dec 2023","24.59","4.21","1.34"
"NIFTY NEXT 50","11 Dec 2023","24.75","4.23","1.33"
"NIFTY NEXT 50","08 Dec 2023","24.49","4.19","1.34"
"NIFTY NEXT 50","07 Dec 2023","24.64","4.22","1.34"
"NIFTY NEXT 50","06 Dec 2023","24.45","4.18","1.35"
"NIFTY NEXT 50","05 Dec 2023","24.17","4.13","1.36"
"NIFTY NEXT 50","04 Dec 2023","23.92","4.09","1.38"
"NIFTY NEXT 50","01 Dec 2023","23.46","4.01","1.40"
"NIFTY NEXT 50","30 Nov 2023","23.24","3.98","1.42"
"NIFTY NEXT 50","29 Nov 2023","23.00","3.93","1.43"
"NIFTY NEXT 50","28 Nov 2023","22.84","3.90","1.59"
"NIFTY NEXT 50","24 Nov 2023","22.57","3.86","1.61"
"NIFTY NEXT 50","23 Nov 2023","22.61","3.86","1.61"
"NIFTY NEXT 50","22 Nov 2023","22.54","3.85","1.61"
"NIFTY NEXT 50","21 Nov 2023","22.63","3.87","1.60"
"NIFTY NEXT 50","20 Nov 2023","22.63","3.87","1.60"
"NIFTY NEXT 50","17 Nov 2023","22.68","3.88","1.62"
"NIFTY NEXT 50","16 Nov 2023","22.51","3.86","1.61"
"NIFTY NEXT 50","15 Nov 2023","22.43","3.84","1.61"
"NIFTY NEXT 50","13 Nov 2023","22.24","3.81","1.63"
"NIFTY NEXT 50","12 Nov 2023","22.31","3.80","1.63"
"NIFTY NEXT 50","10 Nov 2023","22.21","3.79","1.64"
"NIFTY NEXT 50","09 Nov 2023","22.20","3.79","1.49"
"NIFTY NEXT 50","08 Nov 2023","22.45","3.80","1.47"
"NIFTY NEXT 50","07 Nov 2023","22.32","3.78","1.48"
